OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover
FOTU_5146,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5147,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5148,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5149,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5150,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5151,Choanoflagellozoa,Choanoflagellata,unidentified,Choanoflagellida,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5152,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Melampsoraceae,Melampsora,unidentified,unidentified,0,0
FOTU_5153,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5154,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5155,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,"Fungi-ZANF49,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_equiseti",96.38,100
FOTU_5156,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,"Fungi-CCHF45,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_tabarestanensis",85.714,85
FOTU_5157,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Peniophorella,Peniophorella pubera ,unidentified,0,0
FOTU_5158,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5159,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,unidentified,unidentified,0,0
FOTU_5160,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5161,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,unidentified,unidentified,unidentified,0,0
FOTU_5162,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5163,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,unidentified,unidentified,0,0
FOTU_5164,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5165,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5166,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5167,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5168,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5169,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5170,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5171,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5172,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5173,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5174,Rhizaria,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5175,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5176,Fungi,Chytridiomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5177,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5178,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,Chlorophyllum hortense ,unidentified,0,0
FOTU_5179,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5180,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5181,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5182,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5183,Fungi,Ascomycota,Sordariomycetes,Xenospadicoidales,Xenospadicoidaceae,Spadicoides,unidentified,unidentified,0,0
FOTU_5184,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5185,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5186,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5187,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5188,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5189,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5190,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5191,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5192,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Codinaea,unidentified,unidentified,0,0
FOTU_5193,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5194,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5195,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,unidentified,unidentified,0,0
FOTU_5196,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5197,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5198,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5199,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5200,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5201,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5202,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5203,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5204,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5205,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiellopsis,Penidiellopsis ramosus ,unidentified,0,0
FOTU_5206,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5207,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5208,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5209,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5210,Fungi,Ascomycota,Pezizomycetes,Pezizales,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5211,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,Postia,Postia hibernica ,unidentified,0,0
FOTU_5212,Metazoa,unidentified,Demospongiae,Dictyoceratida,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5213,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus micaceus ,unidentified,0,0
